Classification;Rule;3.14;3.7.1;SWP;Equivalent to;Part of;Contains;Opposite of;SonarQube-Tags
blocker;".equals()" should not be used to test the values of "Atomic" classes;X;X;;;;;;Java, bug, multi-threading
minor;"@Deprecated" code should not be used / Deprecated methods should not be used;X;X;X;;;;;Java, cert, cwe, obsolete / Java, cwe, obsolete, owasp-a9, security
critical;"@NonNull" values should not be set to null;X;;;;;;;Java, bug
major;"@Override" annotation should be used on any method overriding (since Java 5) or implementing (since Java 6) another one;X;X;;;;;;Java, bad-practice
major;"action" mappings should not have too many "forward" entries;X;;;;;;;Java, brain-overload, struts
major;"assert" should only be used with boolean variables;X;;;;;;;Java, cert, suspicious
critical;"BigDecimal(double)" should not be used;X;X;;;;;;Java, bug, cert
minor;"catch" clauses should do more than rethrow;X;;;;;;;Java, cert, clumsy, finding, unused
minor;"CHECKSTYLE:OFF" suppression comments should not be used;X;X;;;;;;Java, bad-practice
major;"clone" should not be overridden;X;X;;;;;;Java, suspicious
critical;"Cloneables" should implement "clone";X;X;;;;;;Java, bug
major;"compareTo" results should not be checked for specific values;X;X;;;;;;Java, unpredictable
critical;"compareTo" should not return "Integer.MIN_VALUE";X;X;;;;;;Java, bug
critical;"ConcurrentLinkedQueue.size()" should not be used;X;X;;;;;;Java, performance, security
major;"DateUtils.truncate" from Apache Commons Lang library should not be used;X;X;;;;;;Java, java8, performance
major;"deleteOnExit" should not be used;X;X;;;;;;Java, performance
blocker;"Double.longBitsToDouble" should not be used for "int";X;X;;;;;;Java, bug
major;"entrySet()" should be iterated when both the key and value are needed;X;X;;;;;;Java, performance
critical;"enum" fields should not be publicly mutable;X;;;;;;;Java, bad-practice, security
critical;"equals" methods should be symmetric and work for subclasses;X;X;;;;;;Java, bug, cert
blocker;"equals(Object obj)" and "hashCode()" should be overridden in pairs;X;X;;;;;;Java, bug, cert, cwe
critical;"equals(Object obj)" should be overridden along with the "compareTo(T obj)" method;X;X;;;;;;Java, bug
blocker;"equals(Object obj)" should test argument type;X;X;;;;;;Java, bug
critical;"Exception" should not be caught when not required by called methods;X;X;;;;;;Java, cwe, error-handling, security
critical;"Externalizable" classes should have no-arguments constructors;X;;;;;;;Java, bug
critical;"File.createTempFile" should not be used to create a directory;X;X;;;;;;Java, owasp-a9, security
major;"final" classes should not have "protected" members;X;X;;;;;;Java, confusing
major;"finalize" should not set fields to "null";X;X;;;;;;Java, clumsy, performance
major;"FIXME" tags should be handled;X;X;X;;;;;Java
major / critical;'"for" loop incrementers should modify the variable being tested in the loop''s stop condition';X;X;X;;;;;Java, suspicious
major;"for" loop stop conditions should be invariant;X;X;;;;;;Java, misra, pitfall
critical;"hashCode" and "toString" should not be called on array instances;X;X;;;;;;Java, bug
critical;"HttpServletRequest.getRequestedSessionId()" should not be used;X;X;;;;;;Java, cwe, owasp-a2, sans-top25-porous, security
major;"indexOf" checks should not be for positive numbers;X;X;;;;;;Java, suspicious
major;"indexOf" checks should use a start position;X;X;;;;;;Java, confusing
major;"instanceof" operators that always return "true" or "false" should be removed;X;X;;;;;;Java, cwe, suspicious
critical;"InterruptedException" should not be ignored;X;;;;;;;Java, bug, cwe, multi-threading
blocker;"Iterator.hasNext()" should not call "Iterator.next()";X;X;;;;;;Java, bug
major;"Iterator.next()" methods should throw "NoSuchElementException";X;X;;;;;;Java, unpredictable
minor;"java.lang.Error" should not be extended;X;X;;;;;;Java, error-handling
blocker;"javax.crypto.NullCipher" should not be used for anything other than testing;X;X;;;;;;Java, cwe, owasp-a6, sans-top25-porous, security
major;"Lock" objects should not be "synchronized";X;X;;;;;;Java, cert, clumsy, multi-threading
critical;"main" should not "throw" anything;X;X;;;;;;Java, error-handling, security
minor;"NOPMD" suppression comments should not be used;X;X;X;;;;;Java, bad-practice
major;"NOSONAR" should not be used to switch off issues;X;X;X;;;;;Java, bad-practice
critical;"notifyAll" should be used;X;X;;;;;EJS-098;Java, bug, cert, multi-threading
major;"NullPointerException" should not be caught;X;X;X;;EJS-083;;;Java, cert, cwe, error-handling
major;"NullPointerException" should not be explicitly thrown;X;X;X;;;;;Java, pitfall
critical;"object == null" should be used instead of "object.equals(null)";X;X;;;;;;DEPRECATED, Java, bug
major;"Object.finalize()" should remain protected (versus public) when overriding;X;X;;;;;;Java, cert, cwe, security
critical;"Object.wait(...)" and "Condition.await(...)" should be called inside a "while" loop;X;X;;;;;;Java, bug, cert, multi-threading
major;"Object.wait(...)" should never be called on objects that implement "java.util.concurrent.locks.Condition";X;X;;;;;;Java, suspicious
blocker;"PreparedStatement" and "ResultSet" methods should be called with valid indices;X;X;;;;;;Java, bug, sql
major;"private" methods called only by inner classes should be moved to those classes;X;X;;;;;;Java, confusing
minor;'"private" methods that don''t access instance data should be "static"';X;;;;;;;Java, pitfall
critical;"public static" fields should be constant;X;X;X;;;;;Java, cert, cwe, security
blocker;"read" and "readLine" return values should be used;X;X;;;;;;Java, bug
major;"readObject" should not be "synchronized";X;X;;;;;;Java, confusing
major;"readResolve" methods should be inheritable;X;;;;;;;Java, pitfall
major;"ResultSet.isLast()" should not be used;X;X;;;;;;Java, performance, pitfall, sql
blocker;"runFinalizersOnExit" should not be called;X;X;;;;;;Java, bug, cert, security
blocker;"ScheduledThreadPoolExecutor" should not have 0 core threads;X;X;;;;;;Java, bug
major;"Serializable" classes should have a version id;X;X;;;;;;Java, cert, pitfall, serialization
major;"Serializable" inner classes of "Serializable" classes should be static;X;X;;;;;;Java, cert, pitfall, serialization
critical;"Serializable" inner classes of non-serializable classes should be "static";X;X;;;;;;Java, bug, cert, serialization
critical;"SingleConnectionFactory" instances should be set to "reconnectOnException";X;;;;;;;Java, bug, spring
critical;"static final" arrays should be "private";X;X;;;;;;DEPRECATED, Java, cwe, security
major;"static" members should be accessed statically;X;X;;;;;;Java, pitfall
major;"StringBuilder" and "StringBuffer" should not be instantiated with a character;X;X;;;;;;Java, pitfall
major / minor;"switch case" clauses should not have too many lines;X;X;X;;;;;Java, brain-overload
major;"switch" statements should end with "default" clauses;X;X;X;;;;;Java, cert, cwe, misra
minor;"switch" statements should have at least 3 "case" clauses;X;X;X;;;;;Java, misra
major;"switch" statements should not contain non-case labels;X;X;;;;;;Java, misra, suspicious
major;"switch" statements should not have too many "case" clauses;X;X;;;;;;Java, brain-overload
major;"Thread.sleep" should not be used in tests;X;X;;;;;;Java, bad-practice
major;"Threads" should not be used where "Runnables" are expected;X;X;;;;;;Java, multi-threading, pitfall
critical;"toArray" should be passed an array of the proper type;X;;;;;;;Java, bug
info;"TODO" tags should be handled;X;X;X;;;;;Java
critical;"toString()" and "clone()" methods should not return null;X;X;X;;;;;Java, bug, cwe
minor;"toString()" should never be called on a String object;X;X;;;;;;Java, clumsy, finding
major;"URL.hashCode" and "URL.equals" should be avoided;X;X;;;;;;Java, performance
critical;"wait(...)" should be used instead of "Thread.sleep(...)" when a lock is held;X;X;;;;;;Java, cert, multi-threading, performance, security
critical;"wait(...)", "notify()" and "notifyAll()" methods should only be called when a lock is obviously held on an object;X;X;;;;;;Java, bug, multi-threading
major;@FunctionalInterface annotation should be used to flag Single Abstract Method interfaces;X;X;;;;;;Java, java8
blocker;A "for" loop update clause should move the counter in the right direction;X;X;X;;;;;Java, bug, cert
minor;A "while" loop should be used instead of a "for" loop;X;X;;;;;;Java, clumsy
minor;A close curly brace should be located at the beginning of a line;X;X;X;;;;;Java, convention
major;A field should not duplicate the name of its containing class;X;X;X;;;;;Java, brain-overload
minor;Abstract class names should comply with a naming convention;X;X;;;;;;Java, convention
major / minor;Abstract classes without fields should be converted to interfaces;X;X;X;;;;;Java, java8
major;Abstract methods should not be redundant;X;;;;;;;Java, confusing
minor;An abstract class should have both abstract and concrete methods;X;X;;;;;;Java, convention
minor;An open curly brace should be located at the beginning of a line;X;X;;;;;;Java, convention
minor / major;An open curly brace should be located at the end of a line;X;X;X;;;;;Java, convention
minor;Annotation arguments should appear in the order in which they were declared;X;X;;;;;;Java, convention
major;Annotation repetitions should not be wrapped;X;X;;;;;;Java, java8
major;Anonymous inner classes containing only one method should become lambdas;X;X;;;;;;Java, java8
minor;Array designators "[]" should be located after the type in method signatures;X;X;;;;;;Java, convention
minor;Array designators "[]" should be on the type, not the variable;X;X;;;;;;Java, convention
minor;Artifact ids should follow a naming convention;X;;;;;;;Java, convention, maven
critical;Assertions should be complete;X;X;;;;;;Java, bug, tests
major;Assignments should not be made from within sub-expressions;X;X;;;;;;Java, cert, cwe, misra, suspicious
blocker;Blocks should be synchronized on "private final" fields;X;X;;;;;;Java, cert, cwe, multi-threading, security
minor;Boolean checks should not be inverted;X;X;;;;;;Java, pitfall
minor;Boolean literals should not be redundant;X;;;;;;;Java, clumsy
major;Boxing and unboxing should not be immediately reversed;X;X;;;;;;Java, clumsy
major;Branches should have sufficient coverage by unit tests;X;X;;;;;;Java, bad-practice
major;Case insensitive string comparisons should be made without intermediate upper or lower casing;X;X;;;;;;Java, clumsy
major;Catches should be combined;X;;;;;;;Java, clumsy
major;Checked Exception should not be thrown;X;X;;;;;;Java, error-handling
major;Child class fields should not shadow parent class fields;X;X;;;;;;Java, confusing
major;Child class methods named for parent class methods should be overrides;X;;;;;;;Java, pitfall
minor;Class names should comply with a naming convention;X;X;X;;EJS-018;;;Java, convention
major;Class names should not shadow interfaces or superclasses;X;X;X;;;;;Java, pitfall
major;Class variable fields should not have public accessibility;X;X;;;;;;Java, cwe
major;Classes and enums with private members should have a constructor;X;X;;;;;;Java, pitfall
major;Classes and methods that rely on the default system encoding should not be used;X;X;;;;;;Java, cert, unpredictable
major;Classes extending java.lang.Thread should override the "run" method;X;X;;;;;;Java, multi-threading, pitfall
major;Classes from "sun.*" packages should not be used;X;X;X;;;;;Java, lock-in, pitfall
major;Classes named like "Exception" should extend "Exception" or a subclass;X;X;;;;;;Java, convention, pitfall
critical;Classes should not be compared by name;X;X;;;;;;Java, bug, cert, cwe, security
major;Classes should not be coupled to too many other classes (Single Responsibility Principle);X;X;;;;;;Java, brain-overload
major;Classes should not be empty;X;X;X;;;;;Java, clumsy
critical;Classes should not be loaded dynamically;X;X;;;;;;Java, cwe, owasp-a1, security
major;Classes should not be too complex;X;X;X;;;;;Java, brain-overload
major;Classes should not have too many methods;X;X;;;EJS-069;;;Java, brain-overload
critical;'Classes that don''t define "hashCode()" should not be used in hashes';X;;;;;;;Java, bug
major;Classes that override "clone" should be "Cloneable" and call "super.clone()";X;X;;;;;;Java, cert, cwe
major;Classes with only "static" methods should not be instantiated;X;X;;;;;;Java, clumsy
major;Classes without "public" constructors should be "final";X;X;;;;;;Java, design
minor / major;Close curly brace and the next "else", "catch" and "finally" keywords should be located on the same line;X;X;X;;;;;Java, convention
minor;Close curly brace and the next "else", "catch" and "finally" keywords should be on two different lines;X;X;;;;;;Java, convention
major;Collapsible "if" statements should be merged;X;X;X;;;;;Java, clumsy
major;Collection.isEmpty() should be used to test for emptiness;X;X;;;;;;Java, clumsy
critical;Collections should not be passed as arguments to their own methods;X;X;X;;;;;Java, bug
major;Collections.emptyList(), emptyMap() and emptySet() should be used instead of Collections.EMPTY_LIST, EMPTY_MAP and EMPTY_SET;X;X;;;;;;Java, obsolete, pitfall
info;Comments should not be located at the end of lines of code;X;X;;;EJS-061;;EJS-062;Java, convention
major;Comparators should be "Serializable";X;X;;;;;;Java, pitfall, serialization
