ID;TAG;RULE;DESCRIPTION;CATEGORIES;COMMENT
EJS-001;General;Adhere to the style of the original;Bei Änderungen den Stil des Originals beibehalten;Coding, Style;UNAUTOMATIC
EJS-002;General;Adhere to the Principle of Least Astonishment;Methoden so implementieren wie man es erwarten würde - Simpel, Eindeutig, Vollständig, Konsistent, Robust;Coding, Naming;UNAUTOMATIC
EJS-003;General;Do it right the first time;Regeln für sämtlichen Code anwenden - Auch Tests, Prototypen, usw.;Coding, Style;UNAUTOMATIC
EJS-004;General;Document and deviations;Manchmal sind Regelabweichungen sinnvoll - müssen aber dokumentiert sein;Coding;UNAUTOMATIC
EJS-005;Formatting;Indent nested code;Konsistente Einrückung im gesamtem Team;Style;-
EJS-006;Formatting;Break up long lines;Lange Zeilen konsistent aufteilen - konstante maximale Zeilenlänge z.B.80/132;Style;-
EJS-007;Formatting;Include white space;Leerzeichen vor/nach Klammern und Operatoren, Leerzeilen zwischen logischen Abschnitten, Class-Members, Klassendefinitionen;Style;-
EJS-008;Formatting;Do not use "hard" tabs;Keine tabs verwenden - stattdessen Leerzeichen;Style;-
EJS-009;Naming;Use meaningfull names;Sprechende Namen für Klassen, Methoden und Variablen verwenden;Naming;UNAUTOMATIC
EJS-010;Naming;Use familiar names;Begriffe der fachlichen Domäne für Benennung verwenden;Naming;UNAUTOMATIC
EJS-011;Naming;Question exxessively long names;Sehr lange Namen hinterfragen - eventuell aufteilen;Naming, Coding;UNAUTOMATIC
EJS-012;Naming;Join the vowel generation;Keine Abkürzungen in Namen verwenden;Naming;UNAUTOMATIC
EJS-013;Naming;Capitalize only the first letter in acronyms;Bei Akronymen im Namen nur den ersten Buchstaben groß schreiben ("loadXml") bzw. komplett klein am Anfang ("xmlModel") oder groß in Konstanten ("XML_SAMPLE");Naming;UNAUTOMATIC
EJS-014;Naming;Do not use names that differ only in case;Keine Namen verwenden die sich nur in Groß-/Kleinschreibung unterscheiden;Naming;-
EJS-015;Naming;Use the reversed, lowercase form of your organization's Internet domain name as the root qualifier for your package names;Umgekehrte Web-Domain als Wurzel-Package verwenden ("com.t-systems.");Naming, Structure;-
EJS-016;Naming;Use a single, lowercase word as the root name of each package;Einzelnes kleingeschriebenes Wort als Package-Namen verwenden;Naming;-
EJS-017;Naming;Use the same name for a new version of a package, but only if that new version is still binary compatible with the previous version, otherwise, use a new name;Für eine neue Version eines Packages nur den selben Namen verwenden wenn die Versionen kompatibel sind;Naming, Coding;UNAUTOMATIC
EJS-018;Naming;Capitalizethe first letter of each word that appears in a class or interface name;Jedes Wort in Klassennamen am Anfang groß schreiben ("PageLoader");Naming, Classes;-
EJS-019;Naming;Use nouns when naming classes;Nomen in Klassennamen verwenden;Naming, Classes;UNAUTOMATIC
EJS-020;Naming;Pluralize the names of classes that group related attributes, static services, or constants;Pluralformen für Klassennamen verwenden wenn gleichartige Attribute, statische Methoden oder Konstanten gruppiert werden;Naming, Classes;UNAUTOMATIC
EJS-021;Naming;Use nouns or adjectives when naming interfaces;Je nach Verwendungszweck Nomen(Service-Beschreibung) oder Adjektive(Eigenschafts-Beschreibung) für Interfaces;Naming, Interfaces;UNAUTOMATIC
EJS-022;Naming;Use lowercase for the first word and capitalize only the first letter of each wordsubsequent word word that appears in a method name;Das erste Wort in Methodennamen klein schreiben, jedes weitere Wort am Anfang groß ("loadPage");Naming, Methods;-
