ID;TAG;RULE;DESCRIPTION;CATEGORIES;COMMENT
GSG-210;Basics;Filename;Dateiname = Top-Level-Klassenname + Endung .java;Naming, Class;-
GSG-220;Basics;File encoding: UTF-8;Datei-Encoding in UTF-8;Structure;-
GSG-231;Basics;Whitespace characters;Nur Standardleerzeichen verwenden (keine Tabs, in Literalen escaped);Style;-
GSG-232;Basics;Special escape sequences;\b, \t, \n, \f, \r, \", \', \\ anstatt oktal/unicode-Repräsentation verwenden;Style;-
GSG-233;Basics;Non-ASCII characters;Nicht-ASCII Zeichen nur innerhalb von String Literalen verwenden und wenn unicode-escape-sequenz benutzt kommentieren;Style, Comments;-
GSG-300;FileStructure;Source file structure;Jede Datei soll folgende Struktur haben: Lizenz/Copyright-Info + Leerzeile + Package-Anweisung + Leerzeile + Import-Anweisungen + Leerzeile + EINE Top-Level-Klasse;Style;-
GSG-310;FileStructure;License or copyright information;Wenn benötigt am Dateianfang, als Block-Kommentar;Comments;-
GSG-320;FileStructure;Package Statement;Package-Anweisung immer in eine Zeile schreiben, egal wie lang;Style;-
GSG-331;FileStructure;No wildcard imports;Keine wildcard imports verwenden;Imports;-
GSG-332;FileStructure;No line-wrapping;Import-Anweisungen immer in eine Zeile schreiben, egal wie lang;Style, Imports;-
GSG-333;FileStructure;Ordering and spacing;Erst alle statischen imports als Block, dann alle nicht statischen. Die Blöcke durch leerzeile getrennt und jeweils alphabetisch sortiert;Style, Imports;-
GSG-334;FileStructure;No static import for classes;Statische Klassen nicht mit statischem import einbinden;Import;-
GSG-341;FileStructure;Exactly one top-level class declaration;Genau eine top-level Klasse je Datei;Classes;-
GSG-342;FileStructure;Ordering of class contents;Logische Ordnung in Klassen, Überladene Konstruktoren oder Methoden direkt aufeinanderfolgend;Style, Classes;-
GSG-411;Formatting;Braces are used where optional;Alle optionalen geschweiften Klammern setzen (if, else, for, do, while);Conditionals, Style;-
GSG-412;Formatting;Nonempty blocks: K&R Style;Nichtleere Blöcke mit öffnender Klammer an Zeilenende und schließender Klammer in eigener Zeile schreiben;Style;-
GSG-413;Formatting;Empty blocks: may be concise;In Multi-Block-Anweisungen leere Blöcke mit Zeilenumbruch schreiben;Style;-
GSG-420;Formatting;Block indentation: +2 spaces;Als Einrückung für Blockinhalt 2 Leerzeichen verwenden;Style;-
GSG-430;Formatting;One statement per line;Nur eine Anweisung pro Zeile schreiben;Style;-
GSG-440;Formatting;Column limit: 100;Maximale Zeilenlänge = 100 Zeichen, außer bei package und import Anweisungen und wenn nicht anders möglich;Style;-
GSG-451;Formatting;Where to break;Anweisungen in mehreren Zeilen vermeiden und wenn nötig, dann möglichst lesbar;Style;UNAUTOMATIC
GSG-452;Fommatting;Indent continuation lines at least +4 spaces;Einrückung bei Zeilenumbruch innerhalb von Anweisung mindestens 4 Leerzeichen einrücken;-
GSG-461;Formatting;Vertical whitespace;Leerzeilen zwischen aufeinanderfolgenden "Class-Members" außer Variablen pflicht, überall anders optional zur Strukturierung;Style, Classes;-
GSG-462;Formatting;Horizontal whitespace;Leerzeichen zwischen Schlüsselwörtern und Klammern, vor öffnenden geschweiften Klammern, vor und nach Operatoren und //, nach ,:; und schließender Klammer eines casts, zwischen Datentyp und Variablenname - sonst nirgends!;Style;-
GSG-463;Formatting;Horizontal alignment: never required;Horizontale ausrichtung gleichartiger Anweisungen erlaubt, aber lieber nicht verwenden;Style;-
GSG-470;Formatting;Grouping parentheses: recommended;Klammern zur Gruppierung komplexer Operationen verwenden;Style, Operators;UNAUTOMATIC
