ID;TAG;RULE;DESCRIPTION;CATEGORIES;COMMENT
SOA-001;PROB;IO Operations must be contained be in a try block;IO-Operationen immer in try-block;InOut;-
SOA-002;PROB;Two Dimensional Arrays conflict with 1. Normal Form;???;DataTypes;-
SOA-003;PROB;Data Redefinitions conflict with 2. Normal Form;???;Variables;-
SOA-004;PROB;Data Casting should be avoided;Casting nicht verwenden;Variables;-
SOA-005;SECU;Constructor Methods should not be duplicated;Konstruktoren nicht überladen;Methods;-
SOA-006;PROB;Synchronization should be avoided;Synchronized nicht verwenden;Concurrency;-
SOA-007;PROB;Method Invocation with array of objects should be in try block;Methodenaufruf mit Objektliste immer in try-Block;Methods;-
SOA-008;SECU;Return Value is not controlled after method invocation;Rückgabewerte von Methoden überprüfen;Methods;-
SOA-009;PROB;Conditions should not contain an Assignment;Keine Wertzuweisung in Bedingungen;Conditionals, Operators;-
SOA-010;PROB;Break is missing in switch Statement;Jede case-Anweisung soll mit break abgeschlossen werden;Conditionals;-
SOA-011;PROB;Default is missing in switch Statement;Jede Switch-Anweisung sollte default-case haben;Conditionals;-
SOA-012;PROB;Control logic exceeds maximum Nesting Level;Maximale Verschachtelungstiefe von 5;Conditionals;-
SOA-013;PROB;More than one Statement on a Line;Nur eine Anweisung je Zeile;Style;-
SOA-014;SECU;Class Variables should never be declared public;Keine öffentlichen klassenvariablen;Variables;-
SOA-015;PROB;instanceof should not be used;instanceof nicht benutzen;Operators;-
SOA-016;PROB;External Method Invocation should have a Class Reference;???;Methods;-
SOA-017;SECU;Return Values should be checked;Rückgabewerte überprüfen;Methods;-
SOA-018;SECU;Derived class is not declared as final;Erbende Klassen als final deklarieren;Classes, Inheritance;-
SOA-019;PROB;Class should not contain labels;Keine labels in Klassen verwenden;Classes;-
SOA-020;PROB;Class attribute names should be qualified;Sichtbarkeit von klassenvariablen angeben;Variables;-
SOA-021;PROB;equals should be used to compare objects;Equals zum vergleichen von Objekten verwenden;Operators;-
SOA-022;PROB;Interface definition should be in a separate source file;Interfaces in eigene Quelldatei schreiben;Structure;-
SOA-023;SECU;Input Parameters of a Public Method should be checked;Eingabeparameter in öffentlichen Methoden überprüfen;Methods;-
